model,model_display,clone_type,clone_type_display,alpha,crw_jaccard_mean,crw_jaccard_median,crw_jaccard_p10,crw_spearman_mean,crw_kendall_mean,max_jaccard,max_spearman,max_kendall,optimal_alpha_jaccard,alpha_95_low,alpha_95_high,alpha_95_width,rank_jaccard,rank_spearman,rank_kendall,composite_rank,avg_composite_rank,overall_rank,ordering_accuracy,negation_invariance,topic_coherence
qwen3,Qwen3,perfect_mix,Perfect Mix,0.6,0.5559141347464499,0.5319148936170213,0.3846153846153846,0.9466913563136434,0.8376229591349607,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,0.7,0.5525182537849591,0.5319148936170213,0.3846153846153846,0.9457437685667996,0.8356132489688154,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,0.8,0.5391382222058828,0.5,0.3584905660377358,0.9412517120792712,0.8284140240850872,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,0.9,0.5283045086851315,0.5,0.3584905660377358,0.9373693417892296,0.8223488108015151,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,1.0,0.5245425517734322,0.5,0.3584905660377358,0.935773041441903,0.8201831241417099,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,1.1,0.5281851601415308,0.5,0.3584905660377358,0.937181919978607,0.8225189500350153,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,1.2,0.5206455926672051,0.5,0.3333333333333333,0.934458632016592,0.8182871575012642,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,1.3,0.5144987073700532,0.5,0.3333333333333333,0.9321505422257284,0.814756392767887,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,1.4,0.5093333974191323,0.4693877551020408,0.3333333333333333,0.9301743325925866,0.8117818898045012,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
qwen3,Qwen3,perfect_mix,Perfect Mix,1.5,0.5049950558015637,0.4693877551020408,0.3333333333333333,0.928461476326997,0.809224773971872,0.5559141347464499,0.9466913563136434,0.8376229591349607,0.6,0.5,1.1,0.6000000000000001,2,2,2,2.0,4.666666666666666,4,98.51190476190476,0.1463870290292246,0.4591744357891511
